Category,ATA_Chapter,ATA_Title,Primary_Domain,Secondary_Domains,Notes
ATA Chapter,62,Main Rotor,AAA,,Main rotor (helicopter)
ATA Chapter,63,Main Rotor Drive,MEC,,Rotor transmission
ATA Chapter,64,Tail Rotor,AAA,,Tail rotor (helicopter)
ATA Chapter,65,Tail Rotor Drive,AAA,,Tail rotor drive
ATA Chapter,66,Folding Blades/Pylon,AAA,,Rotor blades
ATA Chapter,67,Rotors Flight Control,MEC,,Rotor control systems
ATA Chapter,68,Reserved,OOO,,Reserved for future use
ATA Chapter,69,Reserved,OOO,,Reserved for future use
ATA Chapter,70,Standard Practices - Engine,PPP,,Engine standard practices
ATA Chapter,71,Power Plant,PPP,,General power plant
ATA Chapter,72,Engine,PPP,,Turbine/piston engine
ATA Chapter,73,Engine Fuel and Control,PPP,,Fuel supply and control
ATA Chapter,74,Ignition,EEE,,Engine ignition systems
ATA Chapter,75,Air,PPP,,Engine bleed air
ATA Chapter,76,Engine Controls,LCC,,Engine control systems
ATA Chapter,77,Engine Indicating,EDI,,Engine instrumentation
ATA Chapter,78,Exhaust,PPP,,Engine exhaust systems
ATA Chapter,79,Oil,MEC,,Engine lubrication
ATA Chapter,80,Starting,EEE,,Engine starting systems
ATA Chapter,81,Turbines,PPP,,General turbine systems
ATA Chapter,82,Water Injection,PPP,,Water injection systems
ATA Chapter,83,Accessory Gearboxes,MEC,,Engine accessories
ATA Chapter,84,Propulsion Augmentation,EDI,,Thrust measurement and control
ATA Chapter,85,Reciprocating Engine,EER,,Piston engine emissions
ATA Chapter,86,Reserved,OOO,,Reserved for future use
ATA Chapter,87,Reserved,OOO,,Reserved for future use
ATA Chapter,88,Reserved,OOO,,Reserved for future use
ATA Chapter,89,Reserved,OOO,,Reserved for future use
ATA Chapter,90,Reserved,OOO,,Reserved for future use
ATA Chapter,91,Charts,IIS,,Performance charts and tables
ATA Chapter,92,Reserved,OOO,,Reserved for future use
ATA Chapter,93,Reserved,OOO,,Reserved for future use
ATA Chapter,94,Reserved,OOO,,Reserved for future use
ATA Chapter,95,Reserved,OOO,,Reserved for future use
ATA Chapter,96,Reserved,OOO,,Reserved for future use
ATA Chapter,97,Wiring,EEE,,Electrical wiring
ATA Chapter,98,Reserved,OOO,,Reserved for future use
ATA Chapter,99,Reserved,OOO,,Reserved for future use
ATA Chapter,100,Reserved,OOO,,Reserved for future use
